33026	35	21.24
33091	35	21.4
33156	30	22.57
33221	33	22.32
33286	30	23.16
33351	26	24.33
33416	27	24.64
33481	18	26.93
33486	21	27.16
33546	31	25.88
33611	32	26
33676	37	25.28
33741	39	24.96
33806	38	25.16
33871	48	23.2
33936	44	23.65
34001	49	22.44
34066	50	21.84
34131	57	20
34196	44	21.89
34261	43	21.88
34266	46	21.12
34326	42	21.65
34391	45	20.92
34456	39	21.89
34521	41	21.48
34586	38	22
34651	39	21.84
34716	34	22.85
34781	43	21.24
34846	44	20.88
34911	45	20.48
34976	48	19.64
35041	42	20.49
35046	40	20.76
35106	41	20.52
35171	34	21.85
35236	46	19.64
35301	42	20.17
35366	44	19.64
35431	43	19.64
35496	39	20.29
35561	39	20.28
35626	36	20.88
35691	42	19.8
35756	50	18.08
35821	44	18.85
35826	38	19.85
35886	47	18.08
35951	42	18.77
36016	39	19.24
36081	40	19.04
36146	44	18.2
36211	40	18.81
36276	35	19.77
36341	30	20.93
36406	32	20.88
36471	25	22.57
36536	30	22.12
36601	32	22.08
36606	37	21.36
36666	35	21.84
36731	34	22.2
36796	30	23.21
36861	36	22.36
36926	44	20.88
36991	39	21.69
37056	40	21.48
37121	39	21.64
37186	34	22.65
37251	33	23.04
37316	32	23.48
37381	30	24.16
37386	35	23.52
37446	37	23.28
37511	28	25.17
37576	36	24
37641	41	23.12
37706	36	24.05
37771	38	23.76
37836	37	24
37901	47	22.08
37966	47	21.76
38031	42	22.45
38096	37	23.33
38161	49	21
38166	40	22.41
38226	43	21.76
38291	44	21.4
38356	39	22.21
38421	50	20
38486	47	20.16
38551	38	21.65
38616	53	18.68
38681	46	19.53
38746	52	18.04
38811	56	16.72
38876	44	18.45
38941	45	18.04
38946	45	17.8
39006	49	16.76
39071	46	16.96
39136	40	17.89
39201	43	17.24
39266	48	16.08
39331	43	16.73
39396	34	18.37
39461	34	18.56
39526	33	18.96
39591	36	18.6
39656	26	20.73
39721	34	19.64
39726	27	21.25
39786	24	22.32
39851	14	24.93
39916	5	27.73
39981	9	28.28
40046	18	27.68
40111	23	27.52
40176	14	29.97
40241	21	29.56
40306	4	33.69
40371	7	34.48
40436	23	32.56
40501	29	32
40506	27	32.8
40566	21	34.49
40631	21	35.2
40696	30	34.12
40761	28	34.88
40826	23	36.33
40891	20	37.56
40956	30	36.32
41021	26	37.49
41086	25	38.2
41151	34	36.96
41216	37	36.56
41281	24	39.25
41286	33	38.04
41346	30	38.88
41411	43	36.64
41476	27	39.69
41541	30	39.56
41606	41	37.72
41671	40	37.84
41736	43	37.2
41801	45	36.64
41866	35	38.41
41931	49	35.76
41996	52	34.76
42061	55	33.64
42066	46	34.81
42126	39	35.93
42191	52	33.32
42256	49	33.4
42321	52	32.4
42386	54	31.48
42451	57	30.28
42516	51	30.77
42581	46	31.29
42646	36	33.01
42711	38	32.72
42776	43	31.76
42841	32	33.81
42846	38	32.88
42906	37	33.12
42971	35	33.6
43036	30	34.77
43101	22	36.73
43166	32	35.4
43231	38	34.48
43296	47	32.72
43361	42	33.41
43426	42	33.28
43491	50	31.56
43556	48	31.52
43621	49	30.96
43626	54	29.56
43686	45	30.77
43751	43	30.92
43816	32	32.97
43881	27	34.25
43946	33	33.52
44011	45	31.36
44076	41	31.92
44141	30	34.05
44206	36	33.2
44271	34	33.72
44336	36	33.52
44401	33	34.24
44406	25	36.09
44466	36	34.44
44531	39	33.96
44596	49	31.96
44661	47	31.96
44726	51	30.84
44791	47	31.17
44856	44	31.44
44921	33	33.45
44986	25	35.29
45051	32	34.44
45116	45	32.12
45181	53	30.28
45186	50	30.32
45246	49	30.08
45311	56	28.28
45376	57	27.4
45441	43	29.49
45506	31	31.73
45571	21	34.05
45636	20	34.96
45701	42	31.32
45766	44	30.8
45831	56	28.2
45896	43	30.13
45961	33	31.97
45966	11	36.61
46026	18	36.32
46091	40	32.76
46156	51	30.52
46221	47	30.84
46286	34	33.13
46351	19	36.33
46416	11	38.73
46481	32	35.64
46546	47	32.92
46611	28	36.41
46676	33	35.84
46741	47	33.28
46746	45	33.36
46806	30	36.13
46871	36	35.28
46936	36	35.4
47001	40	34.72
47066	42	34.28
47131	36	35.37
47196	36	35.48
47261	43	34.2
47326	38	35.05
47391	43	34.08
47456	52	32.12
47521	48	32.41
47526	47	32.24
47586	49	31.52
47651	54	30.12
47716	50	30.33
47781	37	32.49
47846	38	32.36
47911	42	31.6
47976	41	31.68
48041	30	33.81
48106	19	36.37
48171	29	35.16
48236	38	33.76
48301	36	34.2
48306	29	35.73
48366	42	33.52
48431	42	33.4
48496	46	32.48
48561	32	35.01
48626	38	34.08
48691	45	32.72
48756	50	31.48
48821	50	31.04
48886	46	31.41
48951	41	32.13
49016	50	30.24
49081	57	28.4
49086	29	33.29
49146	38	31.88
49211	44	30.72
49276	40	31.33
49341	24	34.49
49406	23	35.28
49471	33	33.92
49536	43	32.16
49601	49	30.8
49666	57	28.8
49731	41	31.29
49796	28	33.81
49861	30	33.84
49866	23	35.61
49926	27	35.44
49991	35	34.32
50056	47	32.08
50121	44	32.36
50186	35	33.97
50251	52	30.72
50316	51	30.4
50381	42	31.73
50446	51	29.8
50511	55	28.52
50576	51	28.69
50641	37	31.01
50646	30	32.49
50706	34	32.04
50771	31	32.84
50836	23	34.77
50901	27	34.6
50966	28	34.88
